,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
2016-02-08 18:29:44.156222,1.37228382,2.78434825,9.07567692
2016-02-08 18:29:44.406222,1.37228382,2.78434825,9.08285523
2016-02-08 18:29:44.656222,1.36989093,2.80109811,9.054142
2016-02-08 18:29:44.906222,1.36031961,2.83011103,9.04696369
2016-02-08 18:29:45.156222,1.34117711,2.85164642,9.05174923
2016-02-08 18:29:45.406222,1.30289197,2.87796736,9.04696369
2016-02-08 18:29:45.656222,1.2669996,2.88753867,9.02752209
2016-02-08 18:29:45.906222,1.24277222,2.89950275,9.03499889
2016-02-08 18:29:46.156222,1.19730866,2.8851459,9.03499889
2016-02-08 18:29:46.406222,1.17338038,2.88753867,9.04457092
2016-02-08 18:29:46.656222,1.15184498,2.88753867,9.04935646
2016-02-08 18:29:46.906222,1.09202445,2.88993144,9.06610584
2016-02-08 18:29:47.156222,1.06570339,2.91625261,9.07328415
2016-02-08 18:29:47.406222,1.01066852,2.9066813,9.07567692
2016-02-08 18:29:47.656222,0.98195458,2.94496656,9.05892754
2016-02-08 18:29:47.906222,0.96999049,2.93300247,9.06849861
2016-02-08 18:29:48.156222,0.9317053,2.93060947,9.05653477
2016-02-08 18:29:48.406222,0.91256273,2.93300247,9.054142
2016-02-08 18:29:48.656222,0.90059865,2.93539524,9.06849861
2016-02-08 18:29:48.906222,0.89342016,2.94496656,9.054142
2016-02-08 18:29:49.156222,0.9101699,2.94735932,9.06849861
2016-02-08 18:29:49.406222,0.92213404,2.94975209,9.05653477
2016-02-08 18:29:49.656222,0.91734839,2.96889472,9.06610584
2016-02-08 18:29:49.906222,0.96281201,2.99282289,9.07089138
2016-02-08 18:29:50.156222,0.97716892,2.98803735,9.06132031
2016-02-08 18:29:50.406222,0.98195458,3.01914406,9.07328415
2016-02-08 18:29:50.656222,0.99391872,3.01675105,9.06371307
2016-02-08 18:29:50.906222,1.00588286,3.06221485,9.05892754
2016-02-08 18:29:51.156222,1.04895365,3.05503631,9.07567692
2016-02-08 18:29:51.406222,1.11116707,3.06700039,9.06610584
2016-02-08 18:29:51.656222,1.14705932,3.05742908,9.03978443
2016-02-08 18:29:51.906222,1.19491577,3.07178617,9.04696369
2016-02-08 18:29:52.156222,1.23798657,3.06221485,9.03499889
2016-02-08 18:29:52.406222,1.29810631,3.0765717,8.99641514
2016-02-08 18:29:52.656222,1.32682014,3.06939316,8.98923683
2016-02-08 18:29:52.906222,1.36989093,3.08614302,8.9724865
2016-02-08 18:29:53.156222,1.42253304,3.06939316,8.94377327
2016-02-08 18:29:53.406222,1.49192488,3.07178617,8.95573711
2016-02-08 18:29:53.656222,1.50628185,3.07417893,8.94137955
2016-02-08 18:29:53.906222,1.5541383,3.08375025,8.94616604
2016-02-08 18:29:54.156222,1.60678041,3.08853579,8.94855881
2016-02-08 18:29:54.406222,1.62113738,3.08135724,8.93898678
2016-02-08 18:29:54.656222,1.65224409,3.10289288,8.94855881
2016-02-08 18:29:54.906222,1.68574357,3.08853579,8.95095158
2016-02-08 18:29:55.156222,1.70249331,3.10767841,8.93659401
2016-02-08 18:29:55.406222,1.74077845,3.11007118,8.93659401
2016-02-08 18:29:55.656222,1.7264216,3.11485696,8.94855881
2016-02-08 18:29:55.906222,1.76949239,3.10289288,8.93898678
2016-02-08 18:29:56.156222,1.78624213,3.09571433,8.96291542
2016-02-08 18:29:56.406222,1.81046939,3.12203527,8.97487927
2016-02-08 18:29:56.656222,1.83439767,3.15074921,8.9916296
2016-02-08 18:29:56.906222,1.86550438,3.15553474,8.98205757
2016-02-08 18:29:57.156222,1.87986124,3.1722846,8.99402237
2016-02-08 18:29:57.406222,1.87986124,3.19621277,8.99641514
2016-02-08 18:29:57.656222,1.88464689,3.19621277,9.01077175
2016-02-08 18:29:57.906222,1.90139675,3.16989183,8.99641514
2016-02-08 18:29:58.156222,1.86071873,3.19382,8.98923683
2016-02-08 18:29:58.406222,1.84875464,3.18903446,8.99641514
2016-02-08 18:29:58.656222,1.82482636,3.18903446,8.98445129
2016-02-08 18:29:58.906222,1.77667081,3.18903446,8.97487927
2016-02-08 18:29:59.156222,1.75274253,3.22014117,8.94137955
2016-02-08 18:29:59.406222,1.73838568,3.21296263,8.92463017
2016-02-08 18:29:59.656222,1.71206462,3.23449802,8.89830875
2016-02-08 18:29:59.906222,1.67617226,3.27278328,8.8791666
2016-02-08 18:30:00.156222,1.64267278,3.27756882,8.89113045
2016-02-08 18:30:00.406222,1.61635172,3.32063961,8.88634491
2016-02-08 18:30:00.656222,1.59003067,3.33978224,8.89352322
2016-02-08 18:30:00.906222,1.54456699,3.39033055,8.87438107
2016-02-08 18:30:01.156222,1.54217422,3.41186595,8.88873768
2016-02-08 18:30:01.406222,1.52303159,3.42861581,8.91984463
2016-02-08 18:30:01.656222,1.53021014,3.44775844,8.91266632
2016-02-08 18:30:01.906222,1.51585317,3.48125792,8.9294157
2016-02-08 18:30:02.156222,1.51106751,3.48843622,8.89352322
2016-02-08 18:30:02.406222,1.52542448,3.49800754,8.90548801
2016-02-08 18:30:02.656222,1.51824594,3.50040054,8.88395214
2016-02-08 18:30:02.906222,1.53738856,3.51954293,8.87677383
2016-02-08 18:30:03.156222,1.55653107,3.52193594,8.86241722
2016-02-08 18:30:03.406222,1.58285213,3.52432871,8.85763168
2016-02-08 18:30:03.656222,1.59003067,3.51954293,8.86241722
2016-02-08 18:30:03.906222,1.62113738,3.51715016,8.85763168
2016-02-08 18:30:04.156222,1.65224409,3.50757885,8.84327412
2016-02-08 18:30:04.406222,1.66899383,3.50518608,8.84805965
2016-02-08 18:30:04.656222,1.68335068,3.48125792,8.82652473
2016-02-08 18:30:04.906222,1.71206462,3.48604345,8.81934643
2016-02-08 18:30:05.156222,1.72402871,3.5147574,8.81695366
2016-02-08 18:30:05.406222,1.77427805,3.50757885,8.78584671
2016-02-08 18:30:05.656222,1.7455641,3.51236463,8.76191807
2016-02-08 18:30:05.906222,1.75513542,3.53390002,8.73559761
2016-02-08 18:30:06.156222,1.75992107,3.53390002,8.69491959
2016-02-08 18:30:06.406222,1.73120713,3.51715016,8.67577648
