,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
2/8/16 19:22,0.134596273,3.557828188,9.008378983
2/8/16 19:22,0.148953214,3.567399502,9.034998894
2/8/16 19:22,0.151346028,3.53868556,9.037391663
2/8/16 19:22,0.175274253,3.553042412,9.032606125
2/8/16 19:22,0.206380948,3.543471336,9.054141998
2/8/16 19:22,0.218345061,3.536292791,9.063713074
2/8/16 19:22,0.249451757,3.53868556,9.073284149
2/8/16 19:22,0.242273286,3.52193594,9.078069687
2/8/16 19:22,0.266201526,3.512364626,9.094820023
2/8/16 19:22,0.268594354,3.52193594,9.109176636
2/8/16 19:22,0.285344094,3.502793312,9.111569405
2/8/16 19:22,0.304486692,3.524328709,9.118747711
2/8/16 19:22,0.326022089,3.495614767,9.137890816
2/8/16 19:22,0.311665148,3.495614767,9.140283585
2/8/16 19:22,0.330807716,3.498007536,9.164211273
2/8/16 19:22,0.306879491,3.493221998,9.171390533
2/8/16 19:22,0.311665148,3.490829229,9.188139915
2/8/16 19:22,0.299701035,3.478864908,9.192925453
2/8/16 19:22,0.282951266,3.459722519,9.185747147
2/8/16 19:22,0.294915378,3.450151205,9.202496529
2/8/16 19:22,0.259023041,3.464508057,9.216854095
2/8/16 19:22,0.254237413,3.459722519,9.240781784
2/8/16 19:22,0.261415869,3.464508057,9.233603477
2/8/16 19:22,0.220737889,3.457329512,9.233603477
2/8/16 19:22,0.218345061,3.459722519,9.247960091
2/8/16 19:22,0.192024022,3.462115288,9.259924889
2/8/16 19:22,0.215952247,3.44297266,9.245567322
2/8/16 19:22,0.199202478,3.447758436,9.214461327
2/8/16 19:22,0.18005991,3.44297266,9.252745628
2/8/16 19:22,0.18005991,3.469293833,9.250352859
2/8/16 19:22,0.194416836,3.454936743,9.238389015
2/8/16 19:22,0.199202478,3.462115288,9.231210709
2/8/16 19:22,0.215952247,3.459722519,9.243174553
2/8/16 19:22,0.211166605,3.483650684,9.240781784
2/8/16 19:22,0.23509483,3.47407937,9.250352859
2/8/16 19:22,0.256630242,3.478864908,9.255139351
2/8/16 19:22,0.254237413,3.488436222,9.247960091
2/8/16 19:22,0.290129751,3.495614767,9.235996246
2/8/16 19:22,0.304486692,3.483650684,9.250352859
2/8/16 19:22,0.292522579,3.50757885,9.233603477
2/8/16 19:22,0.309272319,3.505186081,9.240781784
2/8/16 19:22,0.352343142,3.514757395,9.214461327
2/8/16 19:22,0.328414917,3.50757885,9.226425171
2/8/16 19:22,0.34037903,3.512364626,9.20010376
2/8/16 19:22,0.337986201,3.498007536,9.192925453
2/8/16 19:22,0.335593373,3.502793312,9.173783302
2/8/16 19:22,0.330807716,3.488436222,9.152247429
2/8/16 19:22,0.34037903,3.512364626,9.154640198
