"Time (s)","Illuminance (lx)"
1.698443217E2,2.360000038E1
1.700443222E2,2.320000076E1
1.702443213E2,2.320000076E1
1.704443073E2,2.239999962E1
1.706443197E2,1.910000038E1
1.708443225E2,1.770000076E1
1.710443214E2,1.739999962E1
1.712443039E2,1.689999962E1
1.714443174E2,1.689999962E1
1.716443186E2,1.639999962E1
1.718443240E2,1.650000000E1
1.720443093E2,1.700000000E1
1.722443174E2,1.660000038E1
1.724443219E2,1.729999924E1
1.726443202E2,1.760000038E1
1.728443183E2,1.750000000E1
1.730443029E2,1.800000000E1
1.732443215E2,1.889999962E1
1.734443208E2,2.320000076E1
1.736443348E2,2.460000038E1
1.738443021E2,2.489999962E1
1.740443190E2,2.500000000E1
1.742443209E2,2.500000000E1
1.744443177E2,2.160000038E1
1.746443039E2,2.079999924E1
1.748443205E2,2.039999962E1
1.750443201E2,1.920000076E1
1.752443220E2,2.089999962E1
1.754443112E2,1.970000076E1
1.756443181E2,1.720000076E1
1.758443204E2,1.519999981E1
1.760443204E2,1.269999981E1
1.762443035E2,9.300000191E0
1.764443201E2,8.800000191E0
1.766443195E2,8.000000000E0
1.768443206E2,6.699999809E0
1.770443045E2,6.300000191E0
1.772443193E2,6.099999905E0
1.774443193E2,5.900000095E0
1.776443167E2,5.500000000E0
1.778443088E2,5.400000095E0
1.780443165E2,5.400000095E0
1.782443164E2,5.300000191E0
1.784443213E2,5.500000000E0
1.786443044E2,5.400000095E0
1.788443193E2,5.099999905E0
1.790443199E2,4.900000095E0
1.792443188E2,5.000000000E0
1.794443039E2,5.199999809E0
1.796443162E2,5.599999905E0
1.797443208E2,5.699999809E0
1.799443023E2,6.500000000E0
1.801443178E2,6.699999809E0
1.803443194E2,7.199999809E0
1.805443342E2,7.500000000E0
1.807443013E2,7.000000000E0
1.809443214E2,7.300000191E0
1.811443165E2,7.500000000E0
1.813443188E2,7.599999905E0
1.815443012E2,7.800000191E0
1.817443201E2,7.800000191E0
1.819443210E2,8.500000000E0
1.821443186E2,9.399999619E0
1.823443012E2,1.110000038E1
1.825443199E2,1.160000038E1
1.827443211E2,1.069999981E1
1.829443209E2,1.089999962E1
1.831443033E2,1.439999962E1
1.833443199E2,2.889999962E1
1.835443209E2,6.669999695E1
1.837443191E2,7.409999847E1
1.839443030E2,7.669999695E1
1.841443165E2,6.320000076E1
1.843443202E2,1.378000031E2
1.845443212E2,3.436000061E2
1.847443029E2,3.692999878E2
1.849443179E2,3.043999939E2
1.851443186E2,1.773000031E2
