"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.279717208E0,7.015856504E-1,4.353630543E-1,1.034754038E0
3.289670208E0,5.094898343E-1,4.751023948E-1,9.280924797E-1
3.299623208E0,3.416505158E-1,4.740693569E-1,8.693050742E-1
3.309576208E0,2.160232812E-1,4.040694535E-1,8.480556011E-1
3.319529208E0,1.377681494E-1,3.161414564E-1,8.238900900E-1
3.329482208E0,8.415419608E-2,2.695634663E-1,7.500507236E-1
3.339435208E0,6.663938612E-2,2.870732248E-1,6.681202054E-1
3.349388208E0,1.131250560E-1,3.458867073E-1,5.840308070E-1
3.359341208E0,2.013843358E-1,4.522410929E-1,4.772252440E-1
3.369294208E0,3.022849262E-1,6.288673282E-1,3.485291600E-1
3.379247208E0,4.330317676E-1,8.181008697E-1,1.992019713E-1
3.389199208E0,6.225965023E-1,9.645565748E-1,4.377099872E-2
3.399152208E0,8.874753118E-1,1.086462736E0,-7.699084282E-2
3.409105208E0,1.220787287E0,1.260659099E0,-1.472190768E-1
3.419058208E0,1.544063091E0,1.452338815E0,-1.882440001E-1
3.429011208E0,1.786924362E0,1.587722898E0,-2.119884044E-1
3.438964208E0,1.912779808E0,1.673990726E0,-2.221054882E-1
3.448917208E0,1.905928493E0,1.742648602E0,-2.316354364E-1
3.458870208E0,1.791016817E0,1.769835711E0,-2.402789891E-1
3.468823208E0,1.583768487E0,1.761710763E0,-2.761940956E-1
3.478776208E0,1.296936631E0,1.729569554E0,-3.229903579E-1
3.488729208E0,9.555102587E-1,1.616784096E0,-3.662844002E-1
3.498682208E0,5.840861201E-1,1.417392612E0,-3.924861848E-1
3.508635208E0,1.943883300E-1,1.193163514E0,-4.026513696E-1
3.518588208E0,-1.812241673E-1,1.019621611E0,-3.967244923E-1
3.528541208E0,-4.861576259E-1,9.345122576E-1,-3.860070705E-1
3.538494208E0,-6.847732663E-1,9.346211553E-1,-3.925619125E-1
3.548447208E0,-7.600466609E-1,9.920499325E-1,-4.131861329E-1
3.558400208E0,-7.384961247E-1,1.086480737E0,-4.759089053E-1
3.568353208E0,-6.318589449E-1,1.219206572E0,-5.825247169E-1
3.578306208E0,-4.439380765E-1,1.407087326E0,-7.277484536E-1
3.588259208E0,-1.779661030E-1,1.616019011E0,-8.989996314E-1
3.598211917E0,1.556760520E-1,1.856143713E0,-1.112522006E0
3.608164917E0,5.378320813E-1,2.195514679E0,-1.338000774E0
3.618117917E0,9.628835320E-1,2.589017153E0,-1.543176651E0
3.628070917E0,1.415094614E0,2.945946693E0,-1.731095672E0
3.638023917E0,1.861801505E0,3.318376064E0,-1.898442388E0
3.647976917E0,2.262929678E0,3.732595205E0,-2.101001024E0
3.657929917E0,2.598102570E0,4.132511139E0,-2.377644539E0
3.667882917E0,2.880863667E0,4.472722054E0,-2.726318598E0
3.677835917E0,3.106532812E0,4.760378361E0,-3.101949215E0
3.687788917E0,3.272125244E0,4.976765633E0,-3.468027592E0
3.697741917E0,3.401433229E0,5.124849796E0,-3.838655949E0
3.707694917E0,3.526170015E0,5.174975395E0,-4.218888760E0
3.717647917E0,3.626393080E0,5.070522308E0,-4.634102345E0
3.727600917E0,3.610599041E0,4.830951214E0,-5.079386711E0
3.737553917E0,3.455445051E0,4.515012741E0,-5.501381874E0
3.747506917E0,3.265452862E0,4.080454826E0,-5.841888905E0
3.757459917E0,3.101890564E0,3.468368530E0,-6.131789207E0
3.767412917E0,2.971760988E0,2.844065428E0,-6.321753979E0
3.777365917E0,2.853939056E0,2.291838646E0,-6.364753723E0
3.787318917E0,2.642161131E0,1.781760454E0,-6.329509735E0
3.797271917E0,2.166732073E0,1.229464769E0,-6.282310963E0
3.807224917E0,1.335514903E0,5.823029876E-1,-6.221181393E0
3.817177917E0,1.808079481E-1,-2.024839818E-1,-6.113702297E0
3.827130917E0,-1.066249967E0,-1.154824257E0,-5.967127800E0
3.837082917E0,-2.139910936E0,-2.069938660E0,-5.784491062E0
