,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),lux_Illuminance (lx),loc_Latitude (°),loc_Longitude (°),loc_Velocity (m/s),mag_Magnetic field x (µT),mag_Magnetic field y (µT),mag_Magnetic field z (µT),labelbike,labeldance,labeldesk,labelrun,labelsit,labelwalki,labelwalko
2021-06-05 08:36:56.316535552,0.03651822099861225,-0.42411381705510204,9.934403049755101,0.00044958515104081626,0.0008424915129081633,0.0007955883392428572,,,,,-42.460893402399996,-29.446533814,-54.1424288928,0,0,1,0,0,0,0
2021-06-05 08:36:56.566535552,0.03690981142477778,-0.42182771846666667,9.934600329161615,0.000993956550914,0.0010177164163619999,0.000576883212186,,,,,-42.498007659600006,-29.525568236799998,-53.870053405600004,0,0,1,0,0,0,0
2021-06-05 08:36:56.816535552,0.039402080906414144,-0.42369086755050506,9.937310382616161,0.000873516544167347,0.0012555528082632654,0.0005890576558857143,,52.334303799999994,4.866974,0.0,-42.46662429759999,-29.591198120400005,-54.3451870724,0,0,1,0,0,0,0
2021-06-05 08:36:57.066535552,0.0407087062339697,-0.42291657190505055,9.931914541454546,0.0010578723647010002,0.000996411206454,0.0005555779370480001,,,,,-42.5773355096,-29.564602051199998,-54.4287252812,0,0,1,0,0,0,0
2021-06-05 08:36:57.316535552,0.03978922692223232,-0.425481425389899,9.931309632616161,0.001188747618039796,0.0011903325610051023,0.0005890576511857143,,,,,-42.534492036,-29.485626830799998,-54.31714263919999,0,0,1,0,0,0,0
2021-06-05 08:36:57.566535552,0.037079185547959595,-0.42134378203232326,9.931866087060607,0.0009387367765918368,0.0009077116823693878,0.0002846966464346939,,,,,-42.50415268,-29.421563109199997,-54.007601013599995,0,0,1,0,0,0,0
2021-06-05 08:36:57.816535552,0.03744214291522222,-0.42313434049494947,9.933656702131314,0.001217661888716,0.0011348954285299998,0.0005449253180940001,,,,,-42.4546830748,-29.458789672800002,-54.1792782584,0,0,1,0,0,0,0
2021-06-05 08:36:58.066535552,0.03945145801638776,-0.4300780682561223,9.932643121602041,0.001134397416805102,0.0010055419959234695,0.0007521081930367346,,,,,-42.6637039188,-29.470363159200005,-54.351490783200006,0,0,1,0,0,0,0
2021-06-05 08:36:58.316535552,0.044701168031353544,-0.42669126391818185,9.937697564747475,0.0012389671616,0.0011881585442300002,0.00057688321688,,,,,-42.86684539759999,-29.316095275599995,-54.48213958800001,0,0,1,0,0,0,0
2021-06-05 08:36:58.566535552,0.040297355314525246,-0.42957067761111106,9.932035523232324,0.0008626464915428571,0.0014186033097387753,0.0006760179459632653,,,,,-42.7256698608,-29.019777831600003,-54.5253921504,0,0,1,0,0,0,0
2021-06-05 08:36:58.816535552,0.04356391742977777,-0.424949098719192,9.929543186969697,0.0012602724600130003,0.0010283690871569998,0.00034252525779399995,,,,,-42.2514364632,-29.539181824799996,-54.2351943976,0,0,1,0,0,0,0
